"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.0358352296142338","0.0352845700575138","0.0347977381470204","0.0343772560074255","0.0340240209587969","0.0337319323337437","0.0336010214710527","0.033629836390846","0.0337097589752233","0.0338375122660982","0.0340043525571273","0.0339818197264464","0.0336898846121452","0.033317785033651","0.0329407889318949","0.0326834768682692","0.0325388432441227","0.032394959344326","0.0322549430700255","0.032119742399666","0.0319417382693966","0.0316876861651562","0.0314055556427932","0.0311652694237542","0.031018331834114","0.0309822936191966","0.0310318076027929","0.0310887272275073","0.0309616694532169","0.0304358412466521","0.0294707061181186","0.0284932755869615","0.0276395798783858","0.0267701780216838","0.0259571706683971","0.0251835249379856","0.0244325539348628","0.0237093236915417","0.0230237029021377","0.0224464371892571","0.0220529049189004","0.0217910024950698","0.0215747402940637","0.021381227282446","0.0211678291332832","0.0209191891722277","0.0206639321396469","0.0204089962855627","0.0201588517518042","0.0199320317716586","0.0197456756970224","0.0195863365716076","0.0194401244167963","0.0193061374210862","0.0191833641865774","0.0190705036520014","0.0189683134324112","0.0188746909269361","0.0187895755434885","0.0187643664680771","",
"Africa Eastern and Southern","AFE","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.470616363290587","0.459786450993902","0.460257673986904","0.453665974034743","0.443934306800673","0.43379108501935","0.422904180026842","0.414237011247522","0.406520144769182","0.40343974567358","0.395087149913147","0.387088365175972","0.376580343086843","0.367234582512503","0.360260577115741","0.351304776415564","0.340594542876454","0.336699641935949","0.323360783904931","0.312716844067788","0.304733819225079","0.297478972157377","0.291475524754753","0.284833562449494","0.287060787715722","0.281352963010536","0.274154931641419","0.268623666439246","0.265240161606702","0.257053933227715","0.251466683992203","0.24681663812796","0.232379513600266","0.227177482491906","0.221873740405729","0.216528191773979","0.21210110479073","0.206417889755581","0.203993354213296","0.199270086091108","0.194748219657761","0.192262397978608","0.192205157444015","0.192881047961319","0.191423940938426","0.188876260349942","0.186476416846493","0.185516823821292","0.187129231502747","0.186606937604575","0.187329149102985","0.210967376481523","0.206579527132696","0.202698843258899","0.197970444234799","0.194190971147185","0.191089455227724","0.187474723045408","0.182680211874686","0.178557468146792","",
"Afghanistan","AFG","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.870293305908666","0.858508155883228","0.846304080878278","0.833732919431257","0.81546054650284","0.800867042067343","0.783614035122772","0.76543407450199","0.748964527953672","0.731890749077627","0.717148016718082","0.700821573751105","0.683351324219967","0.666392639722781","0.650633285806669","0.636606038324971","0.623458054632739","0.611336607500721","0.609100203451789","0.633477516873847","0.709086663209384","0.784077458526416","0.794859120516017","0.772182981789953","0.752457544414258","0.757050668415444","0.766268084556472","0.761788459723445","0.741110792971684","0.739612050571138","0.736144910544434","0.656026867410335","0.558707090095803","0.498396854723108","0.46610883839319","0.447020578905387","0.432012940263207","0.419453016395492","0.3972932972992","0.39313345322633","0.390225181719075","0.365614590603086","0.343208451441877","0.331839559988216","0.319730405616014","0.306332474732484","0.300888292191022","0.294923423401776","0.284568655739371","0.276448764639759","0.26636665118246","0.255690852887857","0.246819961783963","0.237527513119643","0.230050223830128","0.223147990771622","0.216000609144723","0.212447076309551","0.206198128283354","0.200886631326973","",
"Africa Western and Central","AFW","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.636179110568348","0.631060967086096","0.639804173181846","0.635693500845258","0.642833402606883","0.627828975930231","0.614400818214269","0.608332486569407","0.640733087862259","0.59491530383205","0.569815160349446","0.522879125917202","0.548133401880517","0.497880270623268","0.480695505086627","0.471363118936644","0.421663436035997","0.400250222069506","0.385326007325769","0.38901164639257","0.356935790239816","0.355315514650838","0.347835686471449","0.360717856138805","0.363770477906452","0.380997776419032","0.370533748089851","0.365066599420904","0.355907527699683","0.354529099450523","0.35935788365194","0.355835148879412","0.35235459495764","0.348752496862153","0.353745760371795","0.352782445402825","0.346905738919778","0.340768771084727","0.338343006397595","0.328430609542313","0.316322302340658","0.313126348203613","0.314461447745339","0.302112277822739","0.30081778888031","0.293824274842361","0.288977869664558","0.283981272616639","0.266344732340902","0.26496498566436","0.261395012334388","0.260101275113194","0.257462907467413","0.250440997414672","0.243686923138329","0.239044395387448","0.233100946557561","0.226934893297834","0.221008232505143","0.215281737752849","",
"Angola","AGO","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.490688586785628","0.489006411417394","0.485729291279891","0.484735331864791","0.482865929572697","0.483839417844412","0.48562823562682","0.487372369360774","0.489171926389409","0.480952617874853","0.469479843854242","0.455635909828711","0.440848070073561","0.426314231221667","0.412358644523102","0.399076344680863","0.386054384412988","0.373154013528763","0.360552206840595","0.348137291422245","0.335980356502964","0.32412548708237","0.312610929718919","0.301527329501372","0.29085450143978","0.280665785698704","0.271178655584125","0.262199960742337","0.253507627694852","0.245167702317038","0.241235958942785","0.237482551959005","0.230091875685961","0.222848989130986","0.215637251565221","0.208574497596179","0.201732939747885","0.195225258712513","0.189026947870715","0.182993086155219","0.177079042240848","0.176979641460941","0.182075575488478","0.17580192982573","0.1696574446535","0.163671478608138","0.162604083352001","0.156743265871339","0.177717164376914","0.175482260562481","0.193741642057699","0.186594628964918","0.187401982070449","0.180622940506821","0.174205368433511","0.168068691114647","0.162205314322782","0.156682009672524","0.151451517525661","0.146581571178545","",
"Albania","ALB","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.260272321966502","0.254774241389244","0.249628252471745","0.244193513713147","0.246676437198592","0.248097095279208","0.248270500885736","0.247246661181087","0.244992662229577","0.243973366162814","0.242246622602158","0.240735473620296","0.238597811169861","0.237008770601041","0.234112085215136","0.233879975237195","0.230749705794125","0.227178320563807","0.222703366755391","0.21893737156142","0.215696229277755","0.21154496785163","0.207105585169974","0.202793733294909","0.198666874440512","0.194863091309404","0.191334493231137","0.187758406484857","0.180300581515845","0.176173011024962","0.176932095420887","0.178008333130585","0.178787941698399","0.179888861730624","0.181003480787908","0.182131941176118","0.183592252406948","0.184431665990098","0.185603475063192","0.187113935876896","0.188878210480257","0.189445462322313","0.190155598601929","0.190951981523248","0.178649285220225","0.195151488013388","0.194611680673882","0.206968107232551","0.208025976944983","0.214897180624513","0.214099225697414","0.213453243189476","0.213153847960617","0.213076441692649","0.213524268208142","0.215673928001833","0.212983872735872","0.213281858346567","0.213720805650358","0.211286787986253","",
"Andorra","AND","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.0978856695379796","0.0907935355002724","0.0844665934622857","0.0788022064617809","0.0737300007373","0.0687474219716761","0.0635122261035249","0.0585514374377891","0.0542034798634072","0.0503524672708963","0.046899915580152","0.0437981779957954","0.0409953675234698","0.0384571011037188","0.0361794500723589","0.0341366832798525","0.032311221687292","0.0306993307545896","0.0292894382285748","0.0280812108618124","0.0270365263470949","0.0259080781387637","0.0247328848436882","0.0237073563926887","0.0228263598803899","0.0219274202390089","0.0209929673559358","0.0201393644016595","0.0193652084664691","0.0186675129272527","0.0180394703611502","0.0174571862507201","0.0169044560146055","0.0163835050870783","0.0158911772184083","0.0155891935710166","0.0154602516928976","0.0153407173319424","0.0152311324346965","0.0151292796949937","0.01105868475376","0.0119973464692515","0.0116362455518422","0.0105286418052071","0.0100217974093654","0.00972313982623004","0.00985057824173575","0.00999276839129577","0.0104262579212479","0.0107663697758638","0.0109116159111199","0.0107022657823215","0.0113497835133885","0.0111699082671284","0.0112898280043487","0.0113041080783016","0.0111055432913038","0.0110647487768787","0.0104790223072187","0.00926640926640927","",
"Arab World","ARB","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.403783505239069","0.392776952060916","0.38411410493405","0.377181787270831","0.371120757395242","0.359106348034848","0.351108420589132","0.339440128183372","0.331271201174167","0.323728340137244","0.31656664174398","0.311727179380731","0.303187212148925","0.297400622275619","0.288229791684818","0.281846559523944","0.270981853844811","0.264452001760176","0.25535911254091","0.246210078971688","0.240694475964933","0.23442294196793","0.22585026304254","0.221235015439724","0.215845954551243","0.210701516266097","0.206758268698838","0.20143391392504","0.196647885712237","0.193471306627645","0.192433628954881","0.191194068567956","0.189005077135932","0.181480871191005","0.176717193057807","0.173002643781841","0.167694531494751","0.163978637405068","0.159644675936719","0.152710918495891","0.148659002744797","0.146650558315769","0.144758980676016","0.139481294412571","0.136418282903339","0.130958334767933","0.127338560617371","0.12105884490046","0.116533218869805","0.114503886276663","0.112070306000323","0.152673772774022","0.150044835094394","0.146321932729107","0.144143293868525","0.14321245917273","0.142068417435982","0.138888187845392","0.134391423559944","0.134035710653454","",
"United Arab Emirates","ARE","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.0354650173069284","0.0335847713212921","0.0318459167165586","0.0302471189619189","0.0287691962461953","0.0328750910913982","0.0313473072663058","0.0280922549653061","0.023690974923103","0.0234833134284296","0.020318536600941","0.0178403947314766","0.0181181575645573","0.018294356191115","0.0202431384961924","0.017910146423588","0.016976463547996","0.014902555912527","0.0132092834844329","0.0157783457982265","0.01726990128888","0.0154128591196175","0.0185847772897254","0.0183439817599675","0.018846916644437","0.019745393365684","0.0184020777849482","0.0172241653852482","0.0161844807572105","0.0184195887589986","0.0174269549184593","0.0179564518240211","0.0179914037073086","0.0180333049380341","0.0176664798676082","0.0178798049546494","0.0163867625547181","0.0123239979049204","0.0138818806913693","0.0183187480479084","0.0205546989489311","0.0206403744989549","0.0167827341329082","0.0157762714360088","0.0158841651925149","0.0103287354810843","0.00759456079599171","0.0073833632507403","0.00624324065978667","0.00596573522204266","0.00525934948493943","0.0042816079318922","0.0042848098235721","0.00497965640597147","0.0049456655278926","0.00494759826347084","0.00490720638144145","0.00462792318172673","0.0054170492887436","0.00527602834368565","",
"Argentina","ARG","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.899246266546806","0.912448736008743","0.917430462632566","0.921298660749595","0.927782466593642","0.964508687095134","0.981719306408125","1.03193137740708","1.02151377801697","1.01091302058739","1.00023204855111","0.989526016428692","0.978434239834811","0.966885573825193","0.955844121313249","0.945559413892378","0.935285085075942","0.925030872735003","0.914909998624572","0.905019742690073","0.895252883738827","0.8856346430538","0.87622561722063","0.86708330599989","0.858219826307639","0.849444616919959","0.840742540480176","0.832008237597849","0.822924596292841","0.814243497932465","0.80590198147676","0.797925780241677","0.790249223857121","0.782807213122816","0.775622808947834","0.768931635444572","0.76278819859442","0.756902613749629","0.75115206706916","0.745600833691792","0.740278416295111","0.735435644920204","0.779248450892263","0.822223686509402","0.864887808835623","0.901351022147131","0.92749516120065","0.884851378076882","0.847763579193546","0.931712217671016","0.936139242669133","0.949431929263345","0.933378211728639","0.891496267825965","0.850601152750607","0.810649270040574","0.771598270679377","0.733411056044632","0.72616143738165","0.719151335232969","",
